dose,cv_iiv,AUC_E,Cmax,herg_rate,caco_rate,composite_score,constraints_met,efficacy_score,safety_score
97.36842105263158,0.32499999999999996,15.570130221522547,9.711920710117852,1.0,1.0,-9.377194791139098,False,1.0380086814348364,0.0
97.36842105263158,0.35,15.570130221522547,9.711920710117852,1.0,1.0,-9.377194791139098,False,1.0380086814348364,0.0
97.36842105263158,0.375,15.570130221522547,9.711920710117852,1.0,1.0,-9.377194791139098,False,1.0380086814348364,0.0
97.36842105263158,0.39999999999999997,15.570130221522547,9.711920710117852,1.0,1.0,-9.377194791139098,False,1.0380086814348364,0.0
97.36842105263158,0.42499999999999993,15.570130221522547,9.711920710117852,1.0,1.0,-9.377194791139098,False,1.0380086814348364,0.0
97.36842105263158,0.44999999999999996,15.570130221522547,9.711920710117852,1.0,1.0,-9.377194791139098,False,1.0380086814348364,0.0
97.36842105263158,0.475,15.570130221522547,9.711920710117852,1.0,1.0,-9.377194791139098,False,1.0380086814348364,0.0
97.36842105263158,0.5,15.570130221522547,9.711920710117852,1.0,1.0,-9.377194791139098,False,1.0380086814348364,0.0
105.26315789473685,0.15,16.767086264238152,10.49937374066795,0.7812804730950339,0.8486845128301029,-9.255309546615502,False,1.11780575094921,0.18501750703743158
105.26315789473685,0.175,16.767086264238152,10.49937374066795,0.8309706520305927,0.8752570850295596,-9.270562096842504,False,1.11780575094921,0.1468861314699239
105.26315789473685,0.19999999999999998,16.767086264238152,10.49937374066795,0.8765616468256143,0.8989468695185416,-9.284418252699306,False,1.11780575094921,0.11224574182792202
105.26315789473685,0.22499999999999998,16.767086264238152,10.49937374066795,0.9188475751152221,0.9203743968169178,-9.297160943816902,False,1.11780575094921,0.08038901403393006
105.26315789473685,0.25,16.767086264238152,10.49937374066795,0.9583992601123891,0.9399744024466936,-9.30899128194229,False,1.11780575094921,0.05081316872045871
105.26315789473685,0.27499999999999997,16.767086264238152,10.49937374066795,0.9956427686949837,0.9580640937269109,-9.320057921914852,False,1.11780575094921,0.023146568789052635
105.26315789473685,0.3,16.767086264238152,10.49937374066795,1.0,0.9748825037993993,-9.324293050190354,False,1.11780575094921,0.012558748100300332
105.26315789473685,0.32499999999999996,16.767086264238152,10.49937374066795,1.0,0.9906145383434103,-9.327439457099157,False,1.11780575094921,0.004692730828294911
105.26315789473685,0.35,16.767086264238152,10.49937374066795,1.0,1.0,-9.329316549430473,False,1.11780575094921,0.0
105.26315789473685,0.375,16.767086264238152,10.49937374066795,1.0,1.0,-9.329316549430473,False,1.11780575094921,0.0
105.26315789473685,0.39999999999999997,16.767086264238152,10.49937374066795,1.0,1.0,-9.329316549430473,False,1.11780575094921,0.0
