smiles,pchembl_value,chembl_id,target_chembl_id,target_name,MW,LogP
O=C1Nc2ccc(F)c3c(SC[C@@H]4CCCN4)cc(-c4ccc[nH]4)c1c23,7.75,CHEMBL442186,CHEMBL301,CDK2,367.449,4.384
O=C1Nc2ccc(F)c3c(S[C@H]4CCNC4)cc(-c4ccc[nH]4)c1c23,8.3,CHEMBL79498,CHEMBL301,CDK2,353.422,3.994
O=C1Nc2ccc(F)c3ccc(-c4ccc[nH]4)c1c23,6.69,CHEMBL312018,CHEMBL301,CDK2,252.248,3.54
O=C1Nc2ccc(F)cc2/C1=C/c1[nH]cc2c1CCNC2=O,6.52,CHEMBL293113,CHEMBL301,CDK2,297.289,1.932
O=C1Nc2ccc(F)cc2/C1=C/c1[nH]cc2c1CCOC2=O,7.09,CHEMBL59110,CHEMBL301,CDK2,298.273,2.359
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(CS(=O)(=O)NCCO)cc1,7.89,CHEMBL1964258,CHEMBL301,CDK2,430.511,2.113
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCCO)cc1,8.33,CHEMBL1964246,CHEMBL301,CDK2,416.484,1.972
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCCOCCO)cc1,9.27,CHEMBL1964259,CHEMBL301,CDK2,460.537,1.989
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCCc2c[nH]cn2)cc1,8.44,CHEMBL1964251,CHEMBL301,CDK2,466.548,2.946
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCc2ccccc2)cc1,8.25,CHEMBL1964242,CHEMBL301,CDK2,462.556,4.18
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)N[n+]2ccc3ccccc3c2)cc1,8.02,CHEMBL2112297,CHEMBL301,CDK2,500.585,4.075
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,8.37,CHEMBL1964244,CHEMBL301,CDK2,448.529,4.502
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,8.006666666666666,CHEMBL1276446,CHEMBL301,CDK2,449.517,3.897
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc2c(c1)CS(=O)(=O)C2,7.85,CHEMBL391229,CHEMBL301,CDK2,383.454,3.13
O=C1Nc2cccc(C3CCNCC3)c2/C1=C/c1[nH]cc2c1CCNC2=O,7.31,CHEMBL58466,CHEMBL301,CDK2,362.433,2.26
O=C1Nc2cccc(C3CCNCC3)c2/C1=C/c1[nH]cc2c1CCOC2=O,8.05,CHEMBL58224,CHEMBL301,CDK2,363.417,2.687
O=C1Nc2cccc(CCO)c2/C1=C/c1[nH]cc2c1CCNC2=O,6.47,CHEMBL445607,CHEMBL301,CDK2,323.352,1.328
O=C1Nc2cccc(CCO)c2/C1=C/c1[nH]cc2c1CCOC2=O,7.52,CHEMBL58483,CHEMBL301,CDK2,324.336,1.755
O=C1Nc2ccccc2/C1=C/Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,6.0,CHEMBL1234088,CHEMBL301,CDK2,398.469,3.349
O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,5.66,CHEMBL1276127,CHEMBL301,CDK2,262.268,2.658
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,7.66,CHEMBL302552,CHEMBL203,EGFR,511.945,2.896
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,6.723999999999999,CHEMBL178957,CHEMBL1871,Androgen receptor,375.268,4.036
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cc(Cl)cc(Cl)c1,7.134,CHEMBL178886,CHEMBL1871,Androgen receptor,308.164,3.305
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc(Br)c(C(F)(F)F)c1,7.8,CHEMBL361222,CHEMBL1871,Androgen receptor,386.167,3.779
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc(Cl)c(Cl)c1,7.134,CHEMBL182593,CHEMBL1871,Androgen receptor,308.164,3.305
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc(F)c(Cl)c1,7.220000000000001,CHEMBL180859,CHEMBL1871,Androgen receptor,291.709,2.791
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc(O)c2ncccc12,6.372,CHEMBL369509,CHEMBL1871,Androgen receptor,306.321,2.252
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,7.493333333333333,CHEMBL368906,CHEMBL1871,Androgen receptor,352.268,2.925
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,9.15,CHEMBL181571,CHEMBL1871,Androgen receptor,334.331,3.06
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])cc1,7.017999999999999,CHEMBL182186,CHEMBL1871,Androgen receptor,284.271,1.906
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc2ccccc2c1,6.8180000000000005,CHEMBL181674,CHEMBL1871,Androgen receptor,289.334,3.151
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc2cccnc2c1,6.812,CHEMBL181722,CHEMBL1871,Androgen receptor,290.322,2.546
O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,6.866,CHEMBL178469,CHEMBL1871,Androgen receptor,307.271,3.017
O=C1[C@@H]2C3C=CC(CC3)[C@@H]2C(=O)N1c1ccc(Cl)c(Cl)c1,7.1499999999999995,CHEMBL184981,CHEMBL1871,Androgen receptor,322.191,3.695
O=C1[C@@H]2C3C=CC(CC3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,7.890000000000001,CHEMBL361445,CHEMBL1871,Androgen receptor,348.358,3.45
O=C1[C@@H]2C3C=CC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,7.601999999999999,CHEMBL182412,CHEMBL1871,Androgen receptor,321.298,3.407
O=C1[C@@H]2C3C=CC(CCC3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,7.803333333333334,CHEMBL369542,CHEMBL1871,Androgen receptor,362.385,3.84
O=C1[C@@H]2C3C=CC([C@H]4C[C@@H]34)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,7.3149999999999995,CHEMBL367375,CHEMBL1871,Androgen receptor,360.369,3.306
O=C1[C@@H]2C3C=CC([C@H]4C[C@@H]34)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,6.734,CHEMBL182993,CHEMBL1871,Androgen receptor,333.309,3.263
O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,8.045555555555556,CHEMBL178333,CHEMBL1871,Androgen receptor,354.284,3.149
O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1ccc2ccccc2c1,6.8180000000000005,CHEMBL359911,CHEMBL1871,Androgen receptor,291.35,3.375
O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,7.291111111111111,CHEMBL367364,CHEMBL1871,Androgen receptor,309.287,3.241
O=C1[C@@H]2C3CCCC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,6.764,CHEMBL183882,CHEMBL1871,Androgen receptor,337.341,4.021
O=C1c2cccc3cc(O)cc(c23)C(=O)N1CC1CCN(CC(O)COc2cccc3[nH]c4ccccc4c23)CC1,7.43,CHEMBL1084706,CHEMBL210,Beta-2 adrenergic receptor,549.627,4.928
O=C1c2cccc3cccc(c23)C(=O)N1CC1CCN(CC(O)COc2ccc3[nH]ccc3c2)CC1,5.9,CHEMBL1084527,CHEMBL210,Beta-2 adrenergic receptor,483.568,4.069
O=C1c2cccc3cccc(c23)C(=O)N1CC1CCN(CC(O)COc2cccc3[nH]c4ccccc4c23)CC1,8.52,CHEMBL1084772,CHEMBL210,Beta-2 adrenergic receptor,533.628,5.222
O=C1c2cccc3cccc(c23)C(=O)N1CC1CCN(CC(O)COc2cccc3[nH]ccc23)CC1,6.92,CHEMBL1083368,CHEMBL210,Beta-2 adrenergic receptor,483.568,4.069
O=C1c2ccccc2C(=O)N1CCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,7.96,CHEMBL306672,CHEMBL217,Dopamine D2 receptor,446.378,4.582
O=C1c2ccccc2C(=O)N1CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,6.92,CHEMBL69717,CHEMBL217,Dopamine D2 receptor,432.351,4.192
O=CN(O)CCCCCC(C(=O)Nc1ccc2ncccc2c1)C(=O)Nc1ccc2ncccc2c1,6.75,CHEMBL336935,CHEMBL325,Serotonin 5-HT2A receptor,485.544,4.384
O=CN(O)CCCCCC(C(=O)Nc1cnc2ccccc2c1)C(=O)Nc1cnc2ccccc2c1,6.8,CHEMBL140525,CHEMBL325,Serotonin 5-HT2A receptor,485.544,4.384
O=CN(O)CCCCCCCC(=O)Nc1ccc2ccccc2c1,6.09,CHEMBL141909,CHEMBL325,Serotonin 5-HT2A receptor,328.412,3.967
O=CN(O)CCCCCCCC(=O)Nc1cccc2ccccc12,5.24,CHEMBL137875,CHEMBL325,Serotonin 5-HT2A receptor,328.412,3.967
O=CN(O)CCCCCNC(=O)CCc1ccccc1,4.31,CHEMBL141885,CHEMBL325,Serotonin 5-HT2A receptor,278.352,1.753
O=CN(O)CCCCCNC(=O)c1ccc2ccccc2c1,5.89,CHEMBL343717,CHEMBL325,Serotonin 5-HT2A receptor,300.358,2.588
O=CN(O)CCCCCNC(=O)c1ccccc1,4.52,CHEMBL337584,CHEMBL325,Serotonin 5-HT2A receptor,250.298,1.434
O=CN/C=C/c1cc(O)ccc1O,5.275,CHEMBL47986,CHEMBL203,EGFR,179.175,0.814
O=CNc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCCS3,8.11,CHEMBL164744,CHEMBL217,Dopamine D2 receptor,453.583,4.531
O=CNc1cc([C@@H](O)CNCCc2ccc(OC3Cc4ccccc4C3)cc2)ccc1O,7.94,CHEMBL184538,CHEMBL210,Beta-2 adrenergic receptor,432.52,3.372
O=CNc1cc([C@@H](O)CNCCc2ccc(OCCCCc3ccccc3)cc2)ccc1O,8.04,CHEMBL185052,CHEMBL210,Beta-2 adrenergic receptor,448.563,4.228
O=CNc1cc([C@@H](O)CNCCc2ccc(OCCCc3ccccc3)cc2)ccc1O,8.23,CHEMBL363329,CHEMBL210,Beta-2 adrenergic receptor,434.536,3.838
O=CNc1cc([C@@H](O)CNCCc2ccc(OCCc3ccccc3)cc2)ccc1O,8.11,CHEMBL363260,CHEMBL210,Beta-2 adrenergic receptor,420.509,3.448
O=CNc1cc([C@@H](O)CNCCc2ccc(Oc3ccccc3)cc2)ccc1O,7.45,CHEMBL185262,CHEMBL210,Beta-2 adrenergic receptor,392.455,3.619
O=CNc1cc([C@@H](O)CNCCc2cccc(OCCCCc3ccccc3)c2)ccc1O,8.07,CHEMBL440561,CHEMBL210,Beta-2 adrenergic receptor,448.563,4.228
O=CNc1cc([C@@H](O)CNCCc2cccc(OCCCOc3ccccc3)c2)ccc1O,8.48,CHEMBL183948,CHEMBL210,Beta-2 adrenergic receptor,450.535,3.674
O=S(=O)(CCCc1ccccc1)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,6.89,CHEMBL13003,CHEMBL210,Beta-2 adrenergic receptor,484.618,3.339
O=S(=O)(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.03,CHEMBL335440,CHEMBL203,EGFR,409.265,2.297
O=S(=O)(CCc1ccccc1)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,6.92,CHEMBL12674,CHEMBL210,Beta-2 adrenergic receptor,470.591,2.949
O=S(=O)(CCc1ccccc1)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1,5.1,CHEMBL104551,CHEMBL210,Beta-2 adrenergic receptor,425.554,2.932
O=S(=O)(Cc1ccccc1)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,7.68,CHEMBL13079,CHEMBL210,Beta-2 adrenergic receptor,456.564,2.906
O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(F)cc2)cc1)c1ccc(I)cc1,7.0,CHEMBL304878,CHEMBL210,Beta-2 adrenergic receptor,570.424,3.803
O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)C1CCCCC1,5.52,CHEMBL274807,CHEMBL210,Beta-2 adrenergic receptor,448.585,3.039
O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccc(Br)cc1,6.75,CHEMBL267545,CHEMBL210,Beta-2 adrenergic receptor,521.433,3.528
O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccc(Cl)c(Cl)c1,5.52,CHEMBL12945,CHEMBL210,Beta-2 adrenergic receptor,511.427,4.072
O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccc(Cl)cc1,6.55,CHEMBL12450,CHEMBL210,Beta-2 adrenergic receptor,476.982,3.418
O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccc(I)cc1,6.92,CHEMBL276257,CHEMBL210,Beta-2 adrenergic receptor,568.433,3.37
O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccc2ccccc2c1,6.2,CHEMBL13278,CHEMBL210,Beta-2 adrenergic receptor,492.597,3.918
